"","Text","Cluster"
"1","A_BELEAGUERED_CITY_noWikiID","Cluster 4"
"2","A_CHILD_OF_THE_JAGO_Q4655860","Cluster 4"
"3","A_CHRISTMAS_CAROL_Q62879","Cluster 4"
"4","A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION_Q4656050","Cluster 4"
"5","A_CRYSTAL_AGE_Q4656205","Cluster 4"
"6","A_DARK_NIGHT'S_WORK_Q16385401","Cluster 4"
"7","A_DRAMA_IN_MUSLIN_noWikiID","Cluster 3"
"8","A_DREAM_OF_JOHN_BALL_noWikiID","Cluster 4"
"9","A_HOLIDAY_ROMANCE_noWikiID","Cluster 4"
"10","A_HOUSE_TO_LET_Q4657430","Cluster 4"
"11","A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399","Cluster 4"
"12","A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS_noWikiID","Cluster 4"
"13","A_LAODICEAN_Q2105252","Cluster 4"
"14","A_LEGEND_OF_MONTROSE_Q3549611","Cluster 3"
"15","A_LITTLE_PRINCESS_Q10483376","Cluster 3"
"16","A_MERE_ACCIDENT_noWikiID","Cluster 4"
"17","A_MODERN_UTOPIA_Q1249074","Cluster 3"
"18","A_MODEST_PROPOSAL_Q264143","Cluster 4"
"19","A_PAIR_OF_BLUE_EYES_Q2931240","Cluster 3"
"20","A_PATCH-WORK_SCREEN_FOR_THE_LADIES_noWikiID","Cluster 2"
"21","A_POLITICAL_ROMANCE_Q4658949","Cluster 4"
"22","A_RIDE_ACROSS_PALESTINE_noWikiID","Cluster 4"
"23","A_ROMANCE_OF_TWO_WORLDS_Q4659270","Cluster 4"
"24","A_ROOM_WITH_A_VIEW_Q120288","Cluster 3"
"25","A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792","Cluster 4"
"26","A_SICILIAN_ROMANCE_Q979649","Cluster 3"
"27","A_SIMPLE_STORY_Q4659531","Cluster 3"
"28","A_SON_OF_THE_SOIL_Q106040512","Cluster 4"
"29","A_STORY_OF_THE_STONE_AGE_Q4659835","Cluster 2"
"30","A_STUDY_IN_SCARLET_Q223131","Cluster 4"
"31","A_TALE_OF_A_TUB_Q2353123","Cluster 3"
"32","A_TALE_OF_TWO_CITIES_Q308918","Cluster 3"
"33","A_WINDOW_IN_THRUMS_noWikiID","Cluster 3"
"34","A_WORLD_OF_GIRLS_noWikiID","Cluster 3"
"35","ACROSS_THE_ZODIAC_Q4676516","Cluster 3"
"36","ACTIONS_AND_REACTIONS_noWikiID","Cluster 3"
"37","ADAM_BEDE_Q2611046","Cluster 2"
"38","ADELA_CATHCART_noWikiID","Cluster 4"
"39","ADELINE_MOWBRAY_Q65083334","Cluster 2"
