"","Text","canonisation_score","Score.Range","class"
"1","ANN_VERONICA_Q1247736",0.160221548263055,"Low (0-0.25)","Review, No Catalogue"
"2","ARMADALE_Q4792516",0.395337204568379,"Mid-Low (0.25-0.5)","Review & Catalogue"
"3","CAMILLA_Q2934813",0.550971056761127,"Mid-High (0.5-0.75)","Review, No Catalogue"
"4","CASTLE_RICHMOND_Q5050241",0.117501066676145,"Low (0-0.25)","Review & Catalogue"
"5","CECILIA_Q3233990",0.177146178958168,"Low (0-0.25)","Review & Catalogue"
"6","CLARISSA_Q980534",0.965599150597217,"High (0.75-1.0)","Review & Catalogue"
"7","DAVID_COPPERFIELD_Q189811",0.46129393099787,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"8","DISCIPLINE_noWikiID",0.0543008598413405,"Low (0-0.25)","Review & Catalogue"
"9","DOMBEY_AND_SON_Q963659",0.594948283367066,"Mid-High (0.5-0.75)","Review & Catalogue"
"10","EMMA_(NOVEL)_Q223880",0.677911265542429,"Mid-High (0.5-0.75)","No Review, Catalogue"
"11","EVELINA_Q1635110",0.57979506909561,"Mid-High (0.5-0.75)","Review & Catalogue"
"12","GREAT_EXPECTATIONS_Q219552",0.706633180000831,"Mid-High (0.5-0.75)","Review & Catalogue"
"13","HE_KNEW_HE_WAS_RIGHT_noWikiID",0.353247063375283,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"14","HELEN_noWikiID",0.11291791638611,"Low (0-0.25)","Review & Catalogue"
"15","HESTER_noWikiID",0.135806373618849,"Low (0-0.25)","No Review, Catalogue"
"16","JANE_EYRE_Q182961",0.993700367636865,"High (0.75-1.0)","Review & Catalogue"
"17","JOHN_HALIFAX_GENTLEMAN_Q6237289",0.132226821715085,"Low (0-0.25)","Review & Catalogue"
"18","LITTLE_DORRIT_Q565638",0.677911265542429,"Mid-High (0.5-0.75)","Review & Catalogue"
"19","MARTIN_CHUZZLEWIT_Q1903609",0.395337204568379,"Mid-Low (0.25-0.5)","Review & Catalogue"
"20","MR_MIDSHIPMAN_EASY_Q1936382",0.0477757206414661,"Low (0-0.25)","No Review, Catalogue"
"21","NO_NAME_(NOVEL)_Q7044605",0.343042979973045,"Mid-Low (0.25-0.5)","Review & Catalogue"
"22","ORLEY_FARM_(NOVEL)_Q16962094",0.117501066676145,"Low (0-0.25)","Review & Catalogue"
"23","OUR_MUTUAL_FRIEND_Q1557935",0.594948283367066,"Mid-High (0.5-0.75)","Review & Catalogue"
"24","PHINEAS_REDUX_Q7186370",0.30372380755444,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"25","ROB_ROY_Q2156104",0.605736576985184,"Mid-High (0.5-0.75)","Review & Catalogue"
"26","ROBERT_ELSMERE_Q7344052",0.0643129761992644,"Low (0-0.25)","Review & Catalogue"
"27","SELF-CONTROL_(NOVEL)_Q3478102",0.0699415703280632,"Low (0-0.25)","Review & Catalogue"
"28","ST_LEON_Q7589523",0.137472234822425,"Low (0-0.25)","No Review & No Catalogue"
"29","THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626",0.146710915746886,"Low (0-0.25)","No Review, Catalogue"
"30","THE_BETH_BOOK_noWikiID",0.0643129761992644,"Low (0-0.25)","Review & Catalogue"
"31","THE_CHILDREN_OF_THE_ABBEY_Q7722505",0.0729237779448048,"Low (0-0.25)","No Review, Catalogue"
"32","THE_DUKE'S_CHILDREN_Q7731161",0.294299317623214,"Mid-Low (0.25-0.5)","No Review & No Catalogue"
"33","THE_EUSTACE_DIAMONDS_Q7732627",0.294299317623214,"Mid-Low (0.25-0.5)","Review & Catalogue"
"34","THE_FORSYTE_SAGA_Q735319",0.158330619297716,"Low (0-0.25)","No Review & No Catalogue"
"35","THE_FORTUNES_OF_NIGEL_Q3230799",0.117501066676145,"Low (0-0.25)","Review & Catalogue"
"36","THE_HEART_OF_MIDLOTHIAN_Q2091094",0.395337204568379,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"37","THE_HEAVENLY_TWINS_noWikiID",0.109783051426266,"Low (0-0.25)","No Review, Catalogue"
"38","THE_HISTORY_OF_MISS_BETSY_THOUGHTLESS_noWikiID",0.127152048513252,"Low (0-0.25)","No Review, Catalogue"
"39","THE_HISTORY_OF_SIR_CHARLES_GRANDISON_Q3521260",0.117501066676145,"Low (0-0.25)","No Review, Catalogue"
"40","THE_HISTORY_OF_THE_FAIRCHILD_FAMILY_Q7739822",0.0520374856859669,"Low (0-0.25)","Review, No Catalogue"
"41","THE_MEMOIRS_OF_MISS_SIDNEY_BIDULPH_Q124661412",0.154263355437284,"Low (0-0.25)","No Review, Catalogue"
"42","THE_MONASTERY_Q3224650",0.122244604531682,"Low (0-0.25)","Review & Catalogue"
"43","THE_OLD_MANOR_HOUSE_Q96409526",0.160221548263055,"Low (0-0.25)","Review & Catalogue"
"44","THE_PORTRAIT_OF_A_LADY_Q861017",0.30372380755444,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"45","THE_PRIME_MINISTER_noWikiID",0.294299317623214,"Mid-Low (0.25-0.5)","Review & Catalogue"
"46","THE_SHADOW_OF_ASHLYDYAT_noWikiID",0.0520374856859669,"Low (0-0.25)","Review & Catalogue"
"47","THE_SMALL_HOUSE_AT_ALLINGTON_Q7764868",0.294299317623214,"Mid-Low (0.25-0.5)","Review & Catalogue"
"48","THE_STRING_OF_PEARLS_Q7767037",0.0477757206414661,"Low (0-0.25)","No Review & No Catalogue"
