"","Text","Cluster"
"1","AURORA_FLOYD_Q4822530","Cluster 3"
"2","TALES_OF_UNREST_noWikiID","Cluster 3"
"3","JEZEBEL'S_DAUGHTER_noWikiID","Cluster 3"
"4","THE_PORTRAIT_OF_A_LADY_Q861017","Cluster 1"
"5","A_LAODICEAN_Q2105252","Cluster 3"
"6","THE_EGOIST_(NOVEL)_Q7731638","Cluster 2"
"7","THE_DUKE'S_CHILDREN_Q7731161","Cluster 1"
"8","HESTER_noWikiID","Cluster 1"
"9","THE_UNCLASSED_Q7771311","Cluster 1"
"10","HALF_A_LIFE-TIME_AGO_noWikiID","Cluster 4"
"11","NORTH_AND_SOUTH_(GASKELL_NOVEL)_Q1853142","Cluster 2"
"12","THE_QUIET_HEART_noWikiID","Cluster 4"
"13","LORD_JIM_Q727408","Cluster 2"
"14","THE_HORRORS_OF_OAKENDALE_ABBEY_Q7740333","Cluster 4"
"15","THE_CHILDREN_OF_THE_ABBEY_Q7722505","Cluster 2"
"16","THE_MONK_Q2659564","Cluster 3"
"17","MEMOIRS_OF_EMMA_COURTNEY_Q2395365","Cluster 4"
"18","SCENES_OF_CLERICAL_LIFE_Q6544172","Cluster 3"
"19","JOHN_HALIFAX_GENTLEMAN_Q6237289","Cluster 1"
"20","COUSIN_PHILLIS_noWikiID","Cluster 4"
"21","SYLVIAS_LOVERS_Q14566477","Cluster 3"
"22","MY_LADY_LUDLOW_Q16387198","Cluster 3"
"23","THE_MYSTERIES_OF_UDOLPHO_Q2600909","Cluster 2"
"24","LILITH_noWikiID","Cluster 3"
"25","THE_ROMANCE_OF_THE_FOREST_Q3406503","Cluster 2"
"26","PETER'S_PENCE_noWikiID","Cluster 4"
"27","THE_HOUSE_WITH_THE_GREEN_SHUTTERS_Q7740720","Cluster 4"
"28","SENTIMENTAL_TOMMY_noWikiID","Cluster 3"
"29","TALES_OF_MEAN_STREETS_noWikiID","Cluster 3"
"30","THE_CHILDREN_OF_THE_NEW_FOREST_Q7722508","Cluster 4"
"31","THE_SETTLERS_IN_CANADA_Q7763415","Cluster 4"
"32","SYBIL_Q3506752","Cluster 3"
"33","CATRIONA_noWikiID","Cluster 4"
"34","THE_LITTLE_MINISTER_noWikiID","Cluster 3"
"35","THE_ADVENTURES_OF_PEREGRINE_PICKLE_Q7712607","Cluster 3"
"36","KIDNAPPED_(NOVEL)_Q2349094","Cluster 3"
"37","THE_MASTER_OF_BALLANTRAE_Q2615930","Cluster 3"
"38","RED_POTTAGE_noWikiID","Cluster 3"
"39","THE_BETH_BOOK_noWikiID","Cluster 2"
"40","THE_CHANGELING_noWikiID","Cluster 2"
"41","THE_HEAVENLY_TWINS_noWikiID","Cluster 1"
"42","MARRIAGE_noWikiID","Cluster 3"
"43","HARRINGTON_noWikiID","Cluster 3"
"44","PATRONAGE_(NOVEL)_Q7148133","Cluster 2"
"45","THE_ADVENTURES_OF_A_BROWNIE_noWikiID","Cluster 4"
"46","THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626","Cluster 2"
"47","AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593","Cluster 3"
"48","MOPSA_THE_FAIRY_noWikiID","Cluster 3"
"49","THROUGH_THE_LOOKING-GLASS_Q220331","Cluster 3"
"50","THE_WIDOW_BARNABY_noWikiID","Cluster 3"
"51","HELEN_noWikiID","Cluster 1"
"52","THE_CONFESSIONS_OF_HARRY_LORREQUER_noWikiID","Cluster 3"
"53","STORIES_OF_RED_HANRAHAN_noWikiID","Cluster 4"
"54","JOHN_BURNET_OF_BARNS_noWikiID","Cluster 3"
"55","THE_SECRET_ROSE_noWikiID","Cluster 4"
"56","THE_UNTILLED_FIELD_noWikiID","Cluster 3"
"57","THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096","Cluster 2"
"58","DOMBEY_AND_SON_Q963659","Cluster 1"
"59","SHIRLEY_(NOVEL)_Q615175","Cluster 2"
"60","SONS_AND_LOVERS_Q80771","Cluster 4"
"61","THE_WHITE_PEACOCK_Q7774542","Cluster 3"
"62","THE_CROCK_OF_GOLD_(NOVEL)_Q7728134","Cluster 3"
"63","THE_FORSYTE_SAGA_Q735319","Cluster 1"
"64","THE_MYSTERY_OF_EDWIN_DROOD_Q1168105","Cluster 4"
"65","NO_THOROUGHFARE_Q7045074","Cluster 2"
"66","OUR_MUTUAL_FRIEND_Q1557935","Cluster 3"
"67","THE_TENANTS_OF_MALORY_noWikiID","Cluster 3"
"68","CLARISSA_Q980534","Cluster 2"
"69","THE_ADVENTURES_OF_SHERLOCK_HOLMES_Q392147","Cluster 3"
"70","AN_IRISH_COUSIN_noWikiID","Cluster 3"
"71","NEW_GRUB_STREET_noWikiID","Cluster 1"
"72","KING_SOLOMON'S_MINES_Q1137494","Cluster 3"
"73","HOWARDS_END_Q1146642","Cluster 3"
"74","TONO-BUNGAY_Q1535422","Cluster 3"
"75","THE_LONGEST_JOURNEY_Q15999894","Cluster 3"
"76","ANN_VERONICA_Q1247736","Cluster 3"
