"","id","Cluster"
"1","ABDALLAH_noWikiID","Cluster 4"
"2","ABU_TELFAN_Q335418","Cluster 2"
"3","ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE_noWikiID","Cluster 3"
"4","ADDRICH_IM_MOOS_noWikiID","Cluster 2"
"5","ADELE_noWikiID","Cluster 4"
"6","AESTHETISCHE_FELDZUEGE_noWikiID","Cluster 4"
"7","AGATHODAEMON_noWikiID","Cluster 2"
"8","AGNES_VON_LILIEN_Q105642294","Cluster 2"
"9","AHNUNG_UND_GEGENWART_Q402329","Cluster 3"
"10","ALSO_SPRACH_ZARATHUSTRA_Q199774","Cluster 4"
"11","ALTE_NESTER_Q436036","Cluster 2"
"12","ALTERSHAUSEN_noWikiID","Cluster 4"
"13","AMANDA_UND_EDUARD_noWikiID","Cluster 2"
"14","AMAZONENSCHLACHT_noWikiID","Cluster 4"
"15","AN_HEILIGEN_WASSERN_noWikiID","Cluster 4"
"16","ANDREA_DELFIN_Q28054637","Cluster 4"
"17","ANDROGYNE_noWikiID","Cluster 4"
"18","ANGELA_BORGIA_noWikiID","Cluster 3"
"19","ANNA_noWikiID","Cluster 3"
"20","ANTON_REISER_Q593385","Cluster 4"
"21","AQUIS_SUBMERSUS_Q623355","Cluster 4"
"22","ARBEIT_noWikiID","Cluster 2"
"23","ARDINGHELLO_noWikiID","Cluster 4"
"24","ARDISTAN_UND_DSCHINNISTAN_Q639501","Cluster 3"
"25","ARIEL'S_OFFENBARUNGEN_noWikiID","Cluster 3"
"26","ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN_noWikiID","Cluster 2"
"27","ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540","Cluster 3"
"28","ASIATISCHE_BANISE_noWikiID","Cluster 3"
"29","ASPASIA_noWikiID","Cluster 4"
"30","AUCH_EINER_Q758582","Cluster 3"
"31","AUF_DEM_STAATSHOF_noWikiID","Cluster 4"
"32","AUF_DER_UNIVERSITAET_Q15792139","Cluster 3"
"33","AUF_DER_WEGWACHT_noWikiID","Cluster 2"
"34","AUF_ZWEI_PLANETEN_Q4310936","Cluster 4"
"35","AUS_DEM_BOEHMERWALDE_noWikiID","Cluster 3"
"36","AUS_DEM_LEBEN_EINER_FRAU_Q101323690","Cluster 4"
"37","AUS_DEM_LEBEN_EINES_TAUGENICHTS_Q777658","Cluster 2"
"38","AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS_Q777681","Cluster 4"
"39","AUS_EINER_FAMILIE_noWikiID","Cluster 4"
"40","AUS_GUTER_FAMILIE_noWikiID","Cluster 2"
"41","AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377","Cluster 1"
"42","AUS_TROTZKOPFS_EHE_noWikiID","Cluster 3"
"43","AUSWAHL_AUS_DES_TEUFELS_PAPIEREN_noWikiID","Cluster 4"
"44","BAHNWAERTER_THIEL_Q803617","Cluster 4"
"45","BARBAROSSA_noWikiID","Cluster 4"
"46","BEATRICE_noWikiID","Cluster 4"
"47","BEBUQUIN_Q30134038","Cluster 4"
"48","BELPHEGOR_noWikiID","Cluster 4"
"49","BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617","Cluster 3"
"50","BLUMEN_noWikiID","Cluster 4"
"51","BOZENA_noWikiID","Cluster 3"
"52","BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID","Cluster 4"
"53","BRIGITTA_(STIFTER)_Q539511","Cluster 3"
"54","BUDDENBROOKS_Q326909","Cluster 3"
"55","BULEMANNS_HAUS_Q1003556","Cluster 4"
"56","BUNTE_STEINE_Q1009887","Cluster 3"
"57","CABANIS_noWikiID","Cluster 2"
"58","CARSTEN_CURATOR_Q1045516","Cluster 2"
"59","CHRISTA_RUHLAND_noWikiID","Cluster 3"
"60","CLEMENTINE_noWikiID","Cluster 3"
"61","CÉCILE_noWikiID","Cluster 2"
"62","DAPHNIS_noWikiID","Cluster 3"
"63","DAS_ALTE_HAUS_noWikiID","Cluster 4"
"64","DAS_AMULETT_Q1167148","Cluster 3"
"65","DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID","Cluster 4"
"66","DAS_BUCH_LE_GRAND_noWikiID","Cluster 4"
"67","DAS_DUELL_noWikiID","Cluster 4"
"68","DAS_ERDBEBEN_IN_CHILI_Q1167748","Cluster 4"
"69","DAS_ERDBEERIMAREILI_noWikiID","Cluster 4"
"70","DAS_FRAEULEIN_VON_SCUDERI_Q358642","Cluster 4"
"71","DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID","Cluster 2"
"72","DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS_noWikiID","Cluster 4"
"73","DAS_GEMEINDEKIND_Q1168304","Cluster 3"
"74","DAS_GESPENST_noWikiID","Cluster 4"
"75","DAS_GLUECK_Q3209153","Cluster 3"
"76","DAS_GOLDMACHERDORF_Q114357971","Cluster 4"
"77","DAS_HEIMWEH_Q1168923","Cluster 4"
"78","DAS_HEXAMERON_VON_ROSENHAIN_noWikiID","Cluster 2"
"79","DAS_HOELZERNE_BEIN_noWikiID","Cluster 4"
"80","DAS_JUDENGRAB_Q18411268","Cluster 4"
"81","DAS_JUNGE_EUROPA_noWikiID","Cluster 3"
"82","DAS_KAJUETENBUCH_noWikiID","Cluster 4"
"83","DAS_KLOSTER_BEI_SENDOMIR_Q1169335","Cluster 4"
"84","DAS_KREUZ_IM_VENN_noWikiID","Cluster 2"
"85","DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS_noWikiID","Cluster 3"
"86","DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER_Q1810894","Cluster 2"
"87","DAS_LEIDEN_EINES_KNABEN_Q1169610","Cluster 3"
"88","DAS_MAEDCHEN_VON_TREPPI_Q28071194","Cluster 3"
"89","DAS_MAERCHEN_DER_672._NACHT_Q1169916","Cluster 4"
"90","DAS_MARMORBILD_Q1169722","Cluster 3"
"91","DAS_NATURFORSCHERSCHIFF_noWikiID","Cluster 4"
"92","DAS_ODFELD_Q1169997","Cluster 4"
"93","DAS_RECHT_DER_MUTTER_noWikiID","Cluster 3"
"94","DAS_SANCTUS_Q1170225","Cluster 4"
"95","DAS_SCHAEDLICHE_noWikiID","Cluster 4"
"96","DAS_SCHATZHAUS_DES_KOENIGS_noWikiID","Cluster 3"
"97","DAS_SCHLOSS_DUERANDE_Q1170280","Cluster 3"
"98","DAS_SCHWEIGEN_IM_WALDE_noWikiID","Cluster 2"
"99","DAS_STEINERNE_HERZ_noWikiID","Cluster 4"
"100","DAS_STUTTGARTER_HUTZELMAENNLEIN_Q13142535","Cluster 4"
"101","DAS_URTEIL_(KAFKA)_Q278998","Cluster 4"
"102","DAS_VERLASSENE_HAUS_noWikiID","Cluster 4"
"103","DAS_VERLORENE_LACHEN_Q1171678","Cluster 4"
"104","DAS_VERMAECHTNIS_DES_INKA_noWikiID","Cluster 4"
"105","DAS_WALDROESCHEN_noWikiID","Cluster 2"
"106","DAS_WEIBERDORF_noWikiID","Cluster 3"
"107","DAS_ZAUBERSCHLOSS_noWikiID","Cluster 4"
"108","DE_PROFUNDIS_noWikiID","Cluster 4"
"109","DEN_STEIN_DER_WEISEN_noWikiID","Cluster 4"
"110","DER_ALTE_VOM_BERGE_noWikiID","Cluster 3"
"111","DER_AMERIKAMUEDE_noWikiID","Cluster 3"
"112","DER_AMTMANN_VON_HOHENWEILER_noWikiID","Cluster 2"
"113","DER_APOSTEL_(HAUPTMANN)_Q28131950","Cluster 4"
"114","DER_ARME_SPIELMANN_Q1198306","Cluster 4"
"115","DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283","Cluster 3"
"116","DER_BAUERNSPIEGEL_noWikiID","Cluster 1"
"117","DER_BESUCH_noWikiID","Cluster 4"
"118","DER_BLONDE_ECKBERT_Q1198407","Cluster 4"
"119","DER_BUETTNERBAUER_noWikiID","Cluster 2"
"120","DER_CONDOR_Q19156156","Cluster 4"
"121","DER_DRAEUMLING_Q1193032","Cluster 4"
"122","DER_EINSAME_noWikiID","Cluster 4"
"123","DER_FALSCHE_WOLDEMAR_noWikiID","Cluster 3"
"124","DER_FAUST_DER_MORGENLAENDER_noWikiID","Cluster 4"
"125","DER_FINDLING_noWikiID","Cluster 4"
"126","DER_FREIHOF_VON_AARAU_noWikiID","Cluster 2"
"127","DER_FROMME_SPRUCH_noWikiID","Cluster 4"
"128","DER_GEHUELFE_Q1193785","Cluster 4"
"129","DER_GEISTERSEHER_Q1193812","Cluster 4"
"130","DER_GENIUS_noWikiID","Cluster 1"
"131","DER_GOLDNE_SPIEGEL_noWikiID","Cluster 3"
"132","DER_GOLDNE_TOPF_Q785009","Cluster 4"
"133","DER_GOTTSUCHER_Q55978264","Cluster 1"
"134","DER_GRUENE_HEINRICH_Q1198871","Cluster 1"
"135","DER_HEILIGE_Q1194176","Cluster 3"
"136","DER_HEIZER_noWikiID","Cluster 4"
"137","DER_HERR_ETATSRAT_Q15805136","Cluster 4"
"138","DER_HEXENMEISTER_noWikiID","Cluster 4"
"139","DER_HEXENSABBAT_noWikiID","Cluster 4"
"140","DER_HOCHWALD_Q1194364","Cluster 3"
"141","DER_HUNGERPASTOR_Q1194487","Cluster 2"
"142","DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER_noWikiID","Cluster 2"
"143","DER_JUNGE_TISCHLERMEISTER_Q1198964","Cluster 3"
"144","DER_JUNKER_VON_DENOW_Q1194662","Cluster 3"
"145","DER_KLEINE_HAEWELMANN_Q1199225","Cluster 4"
"146","DER_KOENIG_DER_BERNINA_noWikiID","Cluster 3"
"147","DER_LANDPREDIGER_Q1195163","Cluster 4"
"148","DER_LANDVOGT_VON_GREIFENSEE_Q1195171","Cluster 3"
"149","DER_MAGNETISEUR_(E._T._A._HOFFMANN)_Q15456531","Cluster 4"
"150","DER_MAJOR_noWikiID","Cluster 3"
"151","DER_NACHSOMMER_Q167320","Cluster 3"
"152","DER_POJAZ_Q1196233","Cluster 4"
"153","DER_POSTEN_DER_FRAU_noWikiID","Cluster 4"
"154","DER_PRINZ_VON_THEBEN_noWikiID","Cluster 4"
"155","DER_PSYCHOLOGE_noWikiID","Cluster 4"
"156","DER_RABBI_VON_BACHERACH_noWikiID","Cluster 4"
"157","DER_RANGIERBAHNHOF_noWikiID","Cluster 3"
"158","DER_RAUBGRAF_noWikiID","Cluster 2"
"159","DER_REBELL_noWikiID","Cluster 2"
"160","DER_REDLICHE_MANN_AM_HOFE_noWikiID","Cluster 2"
"161","DER_ROLAND_VON_BERLIN_noWikiID","Cluster 2"
"162","DER_RUNENBERG_Q1196568","Cluster 4"
"163","DER_SADDUZAEER_VON_AMSTERDAM_noWikiID","Cluster 4"
"164","DER_SANDMANN_(HOFFMANN)_Q798227","Cluster 4"
"165","DER_SATYR_MOPSUS_noWikiID","Cluster 3"
"166","DER_SCHATZ_IM_SILBERSEE_Q249905","Cluster 4"
"167","DER_SCHATZ_noWikiID","Cluster 4"
"168","DER_SCHIMMELREITER_Q895730","Cluster 1"
"169","DER_SCHMIED_SEINES_GLUECKS_noWikiID","Cluster 4"
"170","DER_SCHUEDDERUMP_Q1196819","Cluster 2"
"171","DER_SCHUSS_VON_DER_KANZEL_Q1196769","Cluster 4"
"172","DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE_noWikiID","Cluster 4"
"173","DER_SELBSTMOERDER_noWikiID","Cluster 4"
"174","DER_SONNENWIRT_noWikiID","Cluster 3"
"175","DER_STECHLIN_(ROMAN)_Q1197130","Cluster 1"
"176","DER_STERNSTEINHOF_noWikiID","Cluster 3"
"177","DER_TOD_ABELS_noWikiID","Cluster 3"
