"","Text","canonisation_score","Score.Range","class"
"1","AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377",0.838335598755431,"High (0.75-1.0)","Review & Catalogue"
"2","DER_BAUERNSPIEGEL_noWikiID",0.0645339993923284,"Low (0-0.25)","No Review, Catalogue"
"3","DER_GENIUS_noWikiID",0.0221068485323305,"Low (0-0.25)","No Review & No Catalogue"
"4","DER_GOTTSUCHER_Q55978264",0.0560723413501725,"Low (0-0.25)","No Review, Catalogue"
"5","DER_GRUENE_HEINRICH_Q1198871",0.988875593155002,"High (0.75-1.0)","Review & Catalogue"
"6","DER_SCHIMMELREITER_Q895730",0.827943039612669,"High (0.75-1.0)","Review & Catalogue"
"7","DER_STECHLIN_(ROMAN)_Q1197130",0.904141522122553,"High (0.75-1.0)","Review & Catalogue"
"8","DIE_EPIGONEN_noWikiID",0.175635939901511,"Low (0-0.25)","Review & Catalogue"
"9","DIE_LEUTE_VON_SELDWYLA_Q936322",0.897461864857794,"High (0.75-1.0)","No Review, Catalogue"
"10","DIE_RITTER_VOM_GEISTE_noWikiID",0.0975111340573339,"Low (0-0.25)","No Review, Catalogue"
"11","EFFI_BRIEST_Q1296168",0.848215508034503,"High (0.75-1.0)","Review, No Catalogue"
"12","EIN_DOPPELGAENGER_Q19188654",0.321481356814517,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"13","ELEAGABAL_KUPERUS_noWikiID",0.0205467828522686,"Low (0-0.25)","No Review & No Catalogue"
"14","FRAU_BERTHA_GARLAN_Q1451457",0.259978377605495,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"15","HAMMER_UND_AMBOSS_noWikiID",0.0221068485323305,"Low (0-0.25)","Review & Catalogue"
"16","JAKOB_DER_LETZTE_Q15507850",0.0645339993923284,"Low (0-0.25)","Review & Catalogue"
"17","JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review, Catalogue"
"18","KINDER_DER_WELT_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review & No Catalogue"
"19","NOVELLEN_AUS_OESTERREICH_noWikiID",0.104292668680321,"Low (0-0.25)","No Review, Catalogue"
"20","SOLL_UND_HABEN_(ROMAN)_Q2298931",0.796427302529609,"High (0.75-1.0)","Review & Catalogue"
"21","STURMFLUT_noWikiID",0.0221068485323305,"Low (0-0.25)","Review & Catalogue"
"22","WALDHEIMAT_Q41547677",0.0645339993923284,"Low (0-0.25)","No Review & No Catalogue"
"23","WILHELM_MEISTERS_LEHRJAHRE_Q1194031",0.999115717764715,"High (0.75-1.0)","Review & Catalogue"
"24","WILHELM_MEISTERS_WANDERJAHRE_Q478344",0.645431155250413,"Mid-High (0.5-0.75)","Review & Catalogue"
"25","GESCHICHTE_DES_AGATHON_Q1517277",0.948685656615469,"High (0.75-1.0)","No Review, Catalogue"
"26","DIE_AHNEN_Q42185371",0.0645339993923284,"Low (0-0.25)","No Review, Catalogue"
"27","VERWORRENES_LEBEN_noWikiID",0.0560723413501725,"Low (0-0.25)","No Review & No Catalogue"
"28","DIE_KINDER_VON_FINKENRODE_Q1213860",0.0601640846066759,"Low (0-0.25)","No Review, Catalogue"
"29","DIE_KRONENWAECHTER_Q1214104",0.111487571538697,"Low (0-0.25)","Review, No Catalogue"
"30","DAS_JUNGE_EUROPA_noWikiID",0.0601640846066759,"Low (0-0.25)","No Review, Catalogue"
"31","CÉCILE_noWikiID",0.305392408053958,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"32","MUENCHHAUSEN_noWikiID",0.0237824899093644,"Low (0-0.25)","Review & Catalogue"
"33","DIE_ELIXIERE_DES_TEUFELS_Q600849",0.481513882543301,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"34","ALTE_NESTER_Q436036",0.0645339993923284,"Low (0-0.25)","Review, No Catalogue"
"35","LEBENS-ANSICHTEN_DES_KATERS_MURR_Q1314475",0.425970768854918,"Mid-Low (0.25-0.5)","Review & Catalogue"
"36","GESCHICHTE_DES_FRAEULEINS_VON_STERNHEIM_Q1517346",0.322790810707987,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"37","HERRMANN_UND_ULRIKE_noWikiID",0.0691979459011065,"Low (0-0.25)","No Review, Catalogue"
