"","canonisation_score","circl_sum","reviews_sum","Text","id","circl_binary","indegree","pagerank","class","reviews_binary"
"258","0.897461864857794","2","0","DIE_LEUTE_VON_SELDWYLA_Q936322","1","1","6","1.0942680132302374","No Review, Catalogue","0"
"514","0.0237824899093644","2","0","SIEGWART_noWikiID","10","1","7","4.73689489467469","No Review, Catalogue","0"
"444","0.259978377605495","1","1","MARQUISE_VON_O_noWikiID","100","1","7","0.8916933223012531","Review & Catalogue","1"
"192","0.0851189742374057","0","0","DER_WINTERGARTEN_noWikiID","101","0","14","4.916230507983399","No Review & No Catalogue","0"
"491","0.0255818179471078","1","0","RINALDO_RINALDINI_noWikiID","102","1","4","2.962256916509156","No Review, Catalogue","0"
"209","0.0205467828522686","1","0","DIE_BARONIN_noWikiID","103","1","0","0.15","No Review, Catalogue","0"
"152","0.0221068485323305","0","0","DER_MAJOR_noWikiID","104","0","2","0.9017454580102557","No Review & No Catalogue","0"
"22","0.0205467828522686","0","0","ARBEIT_noWikiID","105","0","6","1.1344282932793268","No Review & No Catalogue","0"
"323","0.0221068485323305","1","0","ELLEN_VON_DER_WEIDEN_noWikiID","106","1","4","1.1495820936646892","No Review, Catalogue","0"
"184","0.0221068485323305","0","1","DER_UEBERGANG_noWikiID","107","0","2","0.4795441539034294","Review, No Catalogue","1"
"392","0.0221068485323305","1","0","IM_SCHLARAFFENLAND_Q1285424","108","1","7","1.5518828167058196","No Review, Catalogue","0"
"342","0.0205467828522686","1","1","FREIGEBOREN_noWikiID","109","1","5","1.1590474872989214","Review & Catalogue","1"
"374","0.0205467828522686","2","0","HEINRICH_JUNG_STILLINGS_JUGEND_noWikiID","11","1","2","1.2922296804112436","No Review, Catalogue","0"
"383","0.0601640846066759","0","0","HOLLAENDISCHE_LIEBHABEREIEN_noWikiID","110","0","0","0.15","No Review & No Catalogue","0"
"449","0.33800545810469","3","1","MEISTER_FLOH_Q837936","111","1","1","0.1925","Review & Catalogue","1"
"432","0.0601640846066759","0","0","LIEBESZAUBER_noWikiID","112","0","2","0.6023571825852578","No Review & No Catalogue","0"
"288","0.33800545810469","5","2","DIE_WAHLVERWANDTSCHAFTEN_Q951198","113","1","7","1.263864703074895","Review & Catalogue","1"
"42","0.838335598755431","2","1","AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377","114","1","9","1.7436543306968442","Review & Catalogue","1"
"13","0.0424309919848873","0","0","AMANDA_UND_EDUARD_noWikiID","115","0","2","0.6909882454288587","No Review & No Catalogue","0"
"417","0.0601640846066759","1","0","L'ARRABIATA_noWikiID","116","1","0","0.15","No Review, Catalogue","0"
"57","0.628138424466113","0","1","BUNTE_STEINE_Q1009887","117","0","6","0.8121380704955216","Review, No Catalogue","1"
"242","0.0205467828522686","2","0","DIE_HOSEN_DES_HERRN_VON_BREDOW_noWikiID","118","1","4","1.1463438677227558","No Review, Catalogue","0"
"531","0.0691979459011065","2","1","ULI_DER_PAECHTER_noWikiID","119","1","7","2.5967390702181303","Review & Catalogue","1"
"351","0.322790810707987","2","0","GESCHICHTE_DES_FRAEULEINS_VON_STERNHEIM_Q1517346","12","1","11","5.459277081375115","No Review, Catalogue","0"
"6","0.0275134422375932","0","2","AESTHETISCHE_FELDZUEGE_noWikiID","120","0","1","0.1925","Review, No Catalogue","1"
"53","0.0645339993923284","2","1","BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID","121","1","3","1.1406029220097718","Review & Catalogue","1"
"477","0.33800545810469","2","1","PRINZESSIN_BRAMBILLA_Q570890","122","1","2","0.24704166666666666","Review & Catalogue","1"
"411","0.259978377605495","3","1","KLEIN_ZACHES_GENANNT_noWikiID","123","1","2","1.0533267726879365","Review & Catalogue","1"
"490","0.0221068485323305","0","0","REVOLUTION_UND_CONTREREVOLUTION_noWikiID","124","0","2","2.2372475300554857","No Review & No Catalogue","0"
"438","0.0221068485323305","1","0","LYDIA_noWikiID","125","1","3","1.8749035664406932","No Review, Catalogue","0"
