;wikiname;0
0;DR_JEKYLL_AND_MR_HYDE;1
1;PHANTASTES;3
2;ROB_ROY;5
3;THE_MAN_OF_FEELING;8
4;THE_SEAFARER;1
5;SON_OF_MARS;1
6;ENNUI;3
7;VILLETTE_(NOVEL);9
8;IVANHOE;10
9;GUY_MANNERING;6
10;THE_BRIDE_OF_LAMMERMOOR;4
11;DISCIPLINE;4
12;THE_HEART_OF_MIDLOTHIAN;8
13;THE_WILD_IRISH_GIRL;10
14;THE_MONASTERY;4
15;THE_THREE_PERILS_OF_MAN;5
16;WINTER_EVENING_TALES;2
17;THE_ENTAIL;3
18;RINGAN_GILHAIZE;3
19;THE_PROVOST;1
20;ANNALS_OF_THE_PARISH;4
21;THE_BROWNIE_OF_BODSBECK;3
22;OLD_MORTALITY;6
23;THE_ANTIQUARY;4
24;COUNT_ROBERT_OF_PARIS;1
25;THE_PRIVATE_MEMOIRS_AND_CONFESSIONS_OF_A_JUSTIFIED_SINNER;13
26;REDGAUNTLET;9
27;WAVERLEY;13
28;SAINT_RONAN'S_WELL;2
29;HEART_OF_DARKNESS;13
30;THE_PICTURE_OF_DORIAN_GRAY;12
31;DRACULA;17
32;A_BELEAGUERED_CITY;1
33;TOMMY_AND_GRIZEL;1
34;SENTIMENTAL_TOMMY;1
35;THE_MAYOR_OF_CASTERBRIDGE;5
36;THE_HOUSE_WITH_THE_GREEN_SHUTTERS;2
37;A_WINDOW_IN_THRUMS;1
38;AULD_LICHT_IDYLLS;2
39;KIDNAPPED_(NOVEL);4
40;MIDDLEMARCH;13
41;VANITY_FAIR_(NOVEL);9
42;HESTER;1
43;A_SON_OF_THE_SOIL;2
44;THE_DAYS_OF_AULD_LANGSYNE;1
45;OLIVER_TWIST;11
46;CLEG_KELLY;1
47;SIR_GIBBIE;1
48;ADELA_CATHCART;1
49;DAVID_ELGINBROD;2
50;ROBERT_FALCONER;1
51;LILITH;2
52;ALEC_FORBES_OF_HOWGLEN;1
53;SARTOR_RESARTUS;8
54;GREAT_EXPECTATIONS;7
55;THE_AMBASSADORS;6
56;WEIR_OF_HERMISTON;1
57;THE_EBB-TIDE;2
58;CORAL_ISLAND;2
59;THE_MASTER_OF_BALLANTRAE;3
60;TREASURE_ISLAND;8
61;THE_DYNAMITER;2
62;THE_SILVERADO_SQUATTERS;1
63;HIDE_AND_SEEK;1
64;THE_HOUND_OF_THE_BASKERVILLES;4
65;JOHN_BURNET_OF_BARNS;1
66;THE_NEW_ROAD;1
67;SIR_NIGEL;1
68;THE_WHITE_COMPANY;1
69;MICAH_CLARKE;2
70;A_STUDY_IN_SCARLET;6
71;ST_IVES;1
72;THE_BLACK_ARROW;1
73;THE_EXPEDITION_OF_HUMPHRY_CLINKER;6
74;BLEAK_HOUSE;12
75;ROBINSON_CRUSOE;18
76;PETER_AND_WENDY;4
77;FRANKENSTEIN;19
78;THE_ADVENTURES_OF_RODERICK_RANDOM;3
79;THE_WRECKER;1
80;CHANCE;2
81;KIM_(NOVEL);7
82;LORD_JIM;3
83;THE_NEW_MACHIAVELLI;1
84;TONO-BUNGAY;2
85;THE_ISLAND_OF_DOCTOR_MOREAU;6
86;NOSTROMO;5
87;UNDER_WESTERN_EYES_(NOVEL);3
88;THE_SECRET_AGENT;6
89;AMY_FOSTER;1
90;HOWARDS_END;6
91;SONS_AND_LOVERS;6
92;THE_CLAYHANGER;1
93;THE_OLD_WIVES'_TALE;2
94;THE_FORSYTE_SAGA;3
95;ANN_VERONICA;3
96;KIPPS;2
97;LOVE_AND_MR_LEWISHAM;2
98;DUBLINERS;7
99;TESS_OF_THE_D'URBERVILLES;10
100;THE_HISTORY_OF_MR_POLLY;2
101;THE_TIME_MACHINE;11
102;CASTLE_RACKRENT;11
103;NEWS_FROM_NOWHERE;6
104;THE_RAGGED-TROUSERED_PHILANTHROPISTS;2
105;THE_ADVENTURES_OF_SHERLOCK_HOLMES;1
106;WUTHERING_HEIGHTS;10
107;THE_RIDDLE_OF_THE_SANDS;3
108;SPIES_OF_THE_KAISER;1
109;KING_SOLOMON'S_MINES;6
110;THE_MOONSTONE;8
111;A_MODERN_UTOPIA;2
112;THE_MAN_WHO_WAS_THURSDAY;1
113;THE_HILL_OF_DREAMS;2
114;THE_GREAT_GOD_PAN;5
115;THE_HOUSE_ON_THE_BORDERLAND;1
116;THE_BOOK_OF_WONDER;1
117;TIME_AND_THE_GODS;1
118;THE_CROCK_OF_GOLD_(NOVEL);3
119;PUCK_OF_POOK'S_HILL;2
120;THE_ENCHANTED_CASTLE;1
121;THE_LAST_MAN;7
122;THE_PICKWICK_PAPERS;10
123;LOVE_AND_MADNESS;1
124;A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY;6
125;THE_FOOL_OF_QUALITY;7
126;CLARISSA;14
127;NORTHANGER_ABBEY;9
128;THE_CASTLE_OF_OTRANTO;13
129;SENSE_AND_SENSIBILITY;8
130;THE_OLD_ENGLISH_BARON;7
131;CALEB_WILLIAMS;10
132;CAMILLA;7
133;A_SIMPLE_STORY;1
134;MANSFIELD_PARK;9
135;VALPERGA;2
