wikiname;variations;author;author_firstname;wikiID;freq;repo_title;repoID;pub_year;genre;text_source
ABDALLAH;['Abdallah'];Tieck;Ludwig;noWikiID;1;Abdallah;../../tieck/abdallah/abdallah.html;1792;narration;Gutenberg-DE
ABU_TELFAN;['Abu Telfan', 'Abu- Telfan'];Raabe;Wilhelm;Q335418;14;Abu Telfan;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Abu_Telfan.xml;1867;novel;textgrid
ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE;['Adams erstes Erwachen und erste seelige NÃ¤chte'];Müller;Friedrich;noWikiID;5;;http://www.zeno.org/Literatur/M/M%C3%BCller,+Friedrich+(Maler+M%C3%BCller)/Gedichte/Gedichte/Adams+erstes+Erwachen+und+erste+selige+N%C3%A4chte/Adams+Erwachen+im+Paradiese;1778;;zeno
ADDRICH_IM_MOOS;['Addrich im Moos'];Zschokke;Heinrich;noWikiID;2;Addrich im Moos;../../zschokke/addrich/addrich.html;1825;;Gutenberg-DE
ADELE;['Adele'];Lewald;Fanny;noWikiID;1;Adele;../../lewald/adele/adele.html;1841;novel;Gutenberg-DE
AESTHETISCHE_FELDZUEGE;['Aesthetische FeldzÃ¼ge'];Wienbarg;Ludolf;noWikiID;5;Aesthetische FeldzÃ¼ge;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Wienbarg_Ludolf_Aesthetische_FeldzÃ¼ge.xml;1834;;textgrid
AGATHODAEMON;['AgathodÃ¤mon'];Wieland;Christoph Martin;noWikiID;5;AgathodÃ¤mon;../../wieland/agathod/agathodm.html;1799;;Gutenberg-DE
AGNES_VON_LILIEN;['Agnes von Lilien'];Wolzogen;Caroline von;Q105642294;1;;http://www.zeno.org/Literatur/M/Wolzogen,+Caroline+von/Roman/Agnes+von+Lilien;1798;novel;zeno
AHNUNG_UND_GEGENWART;['Ahnung und Gegenwart'];Eichendorff;Joseph von;Q402329;29;;../../Eichendorff/ahnung/ahnung.html;1815;(['developmental novel'], ['novel']);Gutenberg-DE
ALSO_SPRACH_ZARATHUSTRA;['Also sprach Zarathustra'];Nietzsche;Friedrich;Q199774;1;;http://www.zeno.org/Philosophie/M/Nietzsche,+Friedrich/Also+sprach+Zarathustra;1883;(['philosophical novel'], []);zeno
ALTE_NESTER;['Alte Nester'];Raabe;Wilhelm;Q436036;3;;../../raabe/altenest/altenest.html;1880;([], ['novel']);Gutenberg-DE
ALTERSHAUSEN;['Altershausen'];Raabe;Wilhelm;noWikiID;1;Altershausen;../../raabe/altershs/altershs.html;1902;novel;Gutenberg-DE
AMANDA_UND_EDUARD;['Amanda und Eduard'];Mereau;Sophie;noWikiID;11;Amanda und Eduard;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Mereau_Sophie_Amanda_und_Eduard.xml;1803;;textgrid
AMAZONENSCHLACHT;['Amazonenschlacht'];Janitschek;Maria;noWikiID;1;Die Amazonenschlacht;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Janitschek_Maria_Die_Amazonenschlacht.xml;1897;novel;textgrid
AN_HEILIGEN_WASSERN;['An heiligen Wassern'];Heer;Jakob Christoph;noWikiID;1;An heiligen Wassern;../../heer/heilwass/heilwass.html;1898;novel;Gutenberg-DE
ANDREA_DELFIN;['Andrea Delfin'];Heyse;Paul;Q28054637;1;;../../heyse/delfin/delfin.html;1862;([], ['novella']);Gutenberg-DE
ANDROGYNE;['Androgyne'];Przybyszewski;Stanislaw;noWikiID;1;Androgyne;../../przybysz/androgyn/androgyn.html;1906;novel;Gutenberg-DE
ANGELA_BORGIA;['Angela Borgia'];Meyer;Conrad Ferdinand;noWikiID;9;Angela Borgia;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Angela_Borgia.xml;1891;novella;textgrid
ANNA;['Anna'];Schopenhauer;Adele;noWikiID;9;Anna;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schopenhauer_Adele_Anna.xml;1845;novel;textgrid
ANTON_REISER;['Anton Reiser'];Moritz;Karl Philipp Moritz;Q593385;36;;../../moritz/reiser/reiser.html;1785;(['developmental novel', 'psychological novel'], ['novel']);Gutenberg-DE
AQUIS_SUBMERSUS;['Aquis submersus', 'In Aquis submersus'];Storm;Theodor;Q623355;9;Aquis Submersus;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Aquis_Submersus.xml;1878;novella;textgrid
ARBEIT;['Arbeit'];Frapan;Ilse;noWikiID;1;Arbeit;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Frapan_Ilse_Arbeit.xml;1903;novel;textgrid
ARDINGHELLO;['Ardinghello'];Heinse;Wilhelm ;noWikiID;2;;../../heinse/ardinghe/ardinghe.html;1787;;Gutenberg-DE
ARDISTAN_UND_DSCHINNISTAN;['Ardistan', 'Ardistan und Dschinnistan'];May;Karl;Q639501;2;Ardistan und Dschinnistan II;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/May_Karl_Ardistan_und_Dschinnistan_II.xml;1909;novel;textgrid
ARIEL'S_OFFENBARUNGEN;"[""Ariel's Offenbarungen""]";Arnim;Achim von;noWikiID;2;Ariel's Offenbarungen;../../arnim/ariel/ariel.html;1804;novel;Gutenberg-DE
ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN;['Aristipp und einige seiner Zeitgenossen'];Wieland;Christoph Martin;noWikiID;3;Aristipp und einige seiner Zeitgenossen;http://www.zeno.org/Literatur/M/Wieland,+Christoph+Martin/Romane/Aristipp+und+einige+seiner+Zeitgenossen;1800;novel;zeno
ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES;['GrÃ¤fin Dolores', 'Die GrÃ¤fin Dolores', 'Arnims Dolores', 'Arnims GrÃ¤fin Dolores'];Arnim;Achim von;Q689540;16;Armut, Reichtum, Schuld  und BuÃŸe der GrÃ¤fin Dolores;../../arnim/dolores/dolores.html;1810;([], ['novel']);Gutenberg-DE
ASIATISCHE_BANISE;['Asiatische Banise'];Ziegler und Kliphausen;Heinrich Anselm von;noWikiID;10;Asiatische Banise;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ziegler_und_Kliphausen_Heinrich_Anselm_von_Asiatische_Banise.xml;1689;;textgrid
ASPASIA;['Aspasia'];Hamerling;Robert;noWikiID;1;Aspasia;../../hamerlin/aspasia/aspasia.html;1875;novel;Gutenberg-DE
AUCH_EINER;['Auch Einer', 'Eine Reisebekanntschaft'];Vischer;Friedrich Theodor;Q758582;2;Auch Einer;../../vischer/aucheinr/aucheinr.html;1879;novel;Gutenberg-DE
AUF_DEM_STAATSHOF;['Auf dem Staatshof'];Storm;Theodor;noWikiID;5;Auf dem Staatshof;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Auf_dem_Staatshof.xml;1859;novella;textgrid
AUF_DER_UNIVERSITAET;['Auf der UniversitÃ¤t'];Storm;Theodor;Q15792139;1;Auf der UniversitÃ¤t;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Auf_der_UniversitÃ¤t.xml;1862;novella;textgrid
AUF_DER_WEGWACHT;['Auf der Wegwacht'];Ertl;Emil;noWikiID;1;Auf der Wegwacht;../../ertl/wegwacht/wegwacht.html;1911;novel;Gutenberg-DE
AUF_ZWEI_PLANETEN;['Auf zwei Planeten'];Lasswitz;Kurd;Q4310936;1;;"../../lasswitz/auf2pl-1/auf2pl-1.html; ../../lasswitz/auf2pl-2/auf2pl-2.html";1897;(['science fiction novel'], ['novel']);Gutenberg-DE
AUS_DEM_BOEHMERWALDE;['Aus dem BÃ¶hmerwalde'];Rank;Josef;noWikiID;1;Aus dem  BÃ¶hmerwalde;../../rankjo/boehmerw/boehmerw.html;1842;narration;Gutenberg-DE
AUS_DEM_LEBEN_EINER_FRAU;['Aus dem Leben einer Frau'];Aston;Louise;Q101323690;5;Aus dem Leben einer Frau;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Aston_Louise_Aus_dem_Leben_einer_Frau.xml;1847;([], ['novel']);textgrid
AUS_DEM_LEBEN_EINES_TAUGENICHTS;['Aus dem Leben eines Taugenichts', 'Taugenichts'];Eichendorff;Joseph von;Q777658;13;Aus dem Leben eines  Taugenichts;../../Eichendorff/taugeni/taugn001.html;1826;(['developmental novel'], ['novella']);Gutenberg-DE
AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI;['Aus den Memoiren des Herrn Schnabelewopski'];Heine;Heinrich;noWikiID;1;;../../heine/schnabel/schnabel.html;1833;;Gutenberg-DE
AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS;['Aus der Chronika des fahrenden SchÃ¼lers', 'Aus der Chronika eines fahrenden SchÃ¼lers', 'Chronika eines fahrenden SchÃ¼lers'];Brentano;Clemes;Q777681;7;Aus der Chronika  eines fahrenden SchÃ¼lers;../../brentano/chronik2/chronik2.html;1818;([], ['narration']);Gutenberg-DE
AUS_EINER_FAMILIE;['Aus einer Familie'];Hoefer;Edmund;noWikiID;1;Aus einer Familie;../../hoefer/5familie/5familie.html;1853;novel;Gutenberg-DE
AUS_GUTER_FAMILIE;['Aus guter Familie'];Reuter;Gabriele;noWikiID;2;Aus guter  Familie;../../reuterga/gutfamil/gutfamil.html;1908;;Gutenberg-DE
AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT;['Dichtung und Wahrheit', 'Aus meinem Leben'];Goethe;Johann Wolfgang von;Q569377;37;Aus meinem Leben.;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Goethe_Johann_Wolfgang_Aus_meinem_Leben.xml;1811;(['autobiography'], ['novel']);textgrid
