wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source;normalised_title;best_match_student_eds;student_edition;score_student_eds;author_complete;best_match_works;works;score_works
A_BELEAGUERED_CITY;['A Beleaguered City'];Oliphant;Margaret;noWikiID;3;11521;1900;novel;Gutenberg-US;a beleaguered city;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;margaret oliphant;margaret lo;0;85.71428571
A_CHILD_OF_THE_JAGO;['A Child of the Jago', 'Child of the Jago'];Morrison;Arthur;Q4655860;5;36958;1896;([], ['novel']);Gutenberg-US;a child of the jago;a child of the jago;1;100;arthur morrison;morris;0;90
A_CHRISTMAS_CAROL;['A Christmas Carol', 'A Christmas Carol Scrooge', 'Between A Christmas Carol'];Dickens;Charles;Q62879;10;30368;1843;(['Christmas fiction', 'novella'], ['novella']);Gutenberg-US;a christmas carol;a christmas carol and other christmas books;1;90;charles dickens;charles dickens;1;100
A_COMPLETE_COLLECTION_OF_GENTEEL_AND_INGENIOUS_CONVERSATION;['Polite Conversation', 'Complete Collection of Genteel and Ingenious Conversation'];Swift;Jonathan;Q4656050;2;60186;1738;satire;Gutenberg-US;a complete collection of genteel and ingenious conversation;green tea: and other weird stories;0;85.5;jonathan swift;jonathan swift;1;100
A_CRYSTAL_AGE;['A Crystal Age'];Hudson;W. H.;Q4656205;1;7401;1887;([], ['novel']);Gutenberg-US;a crystal age;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;w. h. hudson;w. h hudson, (william henry);1;86.08695652
A_DARK_NIGHT'S_WORK;"[""A Dark Night's Work""]";Elizabeth;Gaskell;Q16385401;2;2522;1863;([], ['novel', 'novella']);Gutenberg-US;a dark night's work;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;gaskell elizabeth;elizabeth norton, (historian);0;85.5
A_DRAMA_IN_MUSLIN;['A Drama in Muslin'];Moore;George;noWikiID;17;14659;1886;;Gutenberg-US;a drama in muslin;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;george moore;george moore;1;100
A_DREAM_OF_JOHN_BALL;"[""A Dream of John Ball'""]";Morris;William;noWikiID;2;357;1888;([], ['novel']);Gutenberg-US;a dream of john ball;man and superman, john bull's other island, and major barbara;0;85.5;william morris;william morris;1;100
A_HOLIDAY_ROMANCE;['A Holiday Romance'];Dickens;Charles;noWikiID;3;809;1867;children's book;Gutenberg-US;a holiday romance;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;charles dickens;charles dickens;1;100
A_HOUSE_TO_LET;['A House to Let'];MULTIPLE_AUTHORS;;Q4657430;1;2324;1858;(['novel'], ['short story']);Gutenberg-US;a house to let;the apple cart, too true to be good, on the rocks, and millionairess;0;85.5;;;0;
A_JOURNAL_OF_THE_PLAGUE_YEAR;['Journal of the Plague Year', 'A Journal of the Plague Year'];Defoe;Daniel;Q1215399;10;376;1722;(['epistolary novel', 'historical novel'], []);Gutenberg-US;a journal of the plague year;a journal of the plague year;1;100;daniel defoe;daniel defoe, ?;1;88.88888889
A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT;['A Journey from This World to the Next'];Fielding;Henry;noWikiID;1;1147;1749;novel;Gutenberg-US;a journey from this world to the next;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;henry fielding;henry fielding;1;100
A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS;"[""A Lady's Life in the Rocky Mountains""]";Bird;Isabella L.;noWikiID;2;755;1879;travel novel;Gutenberg-US;a lady's life in the rocky mountains;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;isabella l. bird;isabella l bird, (isabella lucy);1;87.09677419
A_LAODICEAN;['A Laodicean'];Hardy;Thomas;Q2105252;3;3258;1880;([], ['novel']);Gutenberg-US;a laodicean;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;thomas hardy;thomas hardy;1;100
A_LEGEND_OF_MONTROSE;['A Legend of Montrose'];Scott;Walter;Q3549611;1;1461;1819;(['historical novel'], []);Gutenberg-US;a legend of montrose;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;walter scott;walter scott;1;100
A_LITTLE_PRINCESS;['A Little Princess'];Burnett;Frances Hodgson;Q10483376;2;146;1905;"([""children's fiction""], ['novel'])";Gutenberg-US;a little princess;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;frances hodgson burnett;frances hodgson burnett;1;100
A_MERE_ACCIDENT;['A Mere Accident'];Moore;George;noWikiID;1;11733;1887;novel;Gutenberg-US;a mere accident;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;george moore;george moore;1;100
A_MODERN_UTOPIA;['A Modern Utopia'];Wells;H. G.;Q1249074;3;6424;1905;([], ['novel']);Gutenberg-US;a modern utopia;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;h. g. wells;h. wells;1;95
A_MODEST_PROPOSAL;['A Modest Proposal'];Swift;Jonathan;Q264143;12;1080;1729;(['essay', 'polemical lampoon'], []);Gutenberg-US;a modest proposal;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;jonathan swift;jonathan swift;1;100
A_PAIR_OF_BLUE_EYES;['A Pair of Blue Eyes'];Hardy;Thomas;Q2931240;6;224;1873;([], ['novel']);Gutenberg-US;a pair of blue eyes;a pair of blue eyes;1;100;thomas hardy;thomas hardy;1;100
A_PATCH-WORK_SCREEN_FOR_THE_LADIES;['A Patch-Work Screen', 'A Patch-Work Screen for the Ladies', 'A Patchwork Screen for the Ladies'];Barker;Jane;noWikiID;6;ebooks@adelaide;1723;;ebooks@adelaide;a patch-work screen for the ladies;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;jane barker;jane barker;1;100
A_POLITICAL_ROMANCE;['A Political Romance', 'Political Romance'];Sterne;Laurence;Q4658949;3;20257;1759;([], ['novel']);Gutenberg-US;a political romance;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;laurence sterne;laurence sterne;1;100
A_RIDE_ACROSS_PALESTINE;['A Ride across Palestine'];Trollope;Anthony;noWikiID;1;3723;1861;short story;Gutenberg-US;a ride across palestine;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;anthony trollope;anthony trollope;1;100
A_ROMANCE_OF_TWO_WORLDS;['A Romance of Two Worlds'];Corelli;Marie;Q4659270;2;4394;1886;([], ['novel']);Gutenberg-US;a romance of two worlds;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;marie corelli;marie humber clements;0;85.5
A_ROOM_WITH_A_VIEW;['A Room with a View'];Forster;E. M.;Q120288;2;2641;1908;(['romance'], ['novel']);Gutenberg-US;a room with a view;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;e. m. forster;e. m forster, (edward morgan);1;86.4
A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY;['A Sentimental Journey', 'Sentimental Journey', 'A Sentimental Journey through France and Italy', 'A Sentimental Journey through France and Italy, By', 'A Sentimental Journey through France and Italy by Mr. Yorick'];Sterne;Laurence;Q768792;14;804;1768;(['imaginary voyage'], ['novel']);Gutenberg-US;a sentimental journey through france and italy;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;laurence sterne;laurence sterne;1;100
A_SICILIAN_ROMANCE;['A Sicilian Romance'];Radcliffe;Ann;Q979649;10;7371;1790;(['Gothic fiction'], ['novel']);Gutenberg-US;a sicilian romance;a sicilian romance;1;100;ann radcliffe;anthony radcliffe;0;86.66666667
A_SIMPLE_STORY;['A Simple Story', 'A Simple Story'];Inchbald;Elizabeth;Q4659531;8;22002;1791;([], ['novel']);Gutenberg-US;a simple story;a simple story;1;100;elizabeth inchbald;elizabeth archibald;0;86.48648649
A_SON_OF_THE_SOIL;['A Son of the Soil'];Oliphant;Margaret;Q106040512;2;57988;1865;([], ['novel']);Gutenberg-US;a son of the soil;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;margaret oliphant;margaret lo;0;85.71428571
A_SPORTSMAN'S_SKETCHES;"[""A Sportsman's Sketches""]";Trollope;Anthony;noWikiID;1;814;1865;collection of stories;Gutenberg-US;a sportsman's sketches;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;anthony trollope;anthony trollope;1;100
A_STORY_OF_THE_STONE_AGE;['A Story of the Stone Age'];Wells;H. G.;Q4659835;1;27365;1899;(['prehistoric fiction'], ['short story']);Gutenberg-US;a story of the stone age;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;h. g. wells;h. wells;1;95
A_STUDY_IN_SCARLET;['A Study in Scarlet', 'The Study in Scarlet'];Doyle;Arthur Conan;Q223131;8;244;1887;(['detective fiction', 'mystery fiction', 'crime fiction'], ['novel']);Gutenberg-US;a study in scarlet;a study in scarlet;1;100;arthur conan doyle;arthur conan doyle;1;100
A_TALE_OF_A_TUB;['A Tale of a Tub', 'Tale of a Tub', 'A Tale of A Tub', 'A Tale of Tub'];Swift;Jonathan;Q2353123;18;4737;1704;prose satire;Gutenberg-US;a tale of a tub;a tale of a tub and other works;1;90;jonathan swift;jonathan swift;1;100
A_TALE_OF_TWO_CITIES;['A Tale of Two Cities', 'Tale of Two Cities'];Dickens;Charles;Q308918;23;98;1859;(['historical fiction', 'social problem fiction'], ['novel']);Gutenberg-US;a tale of two cities;a tale of two cities;1;100;charles dickens;charles dickens;1;100
A_WINDOW_IN_THRUMS;['A Window in Thrums'];Barrie;J. M. ;noWikiID;1;20914;1889;novel;Gutenberg-US;a window in thrums;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;j. m.  barrie;j. m barrie;1;91.66666667
A_WORLD_OF_GIRLS;['A World of Girls'];Meade;L.T.;noWikiID;2;25870;1886;story;Gutenberg-US;a world of girls;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;l.t. meade;john meade falkner;0;85.5
ACROSS_THE_ZODIAC;['Across the Zodiac'];Greg;Percy;Q4676516;1;10165;1880;(['science fiction'], ['novel']);Gutenberg-US;across the zodiac;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;percy greg;greg pope, (gregory s.) singer;0;85.5
ACTIONS_AND_REACTIONS;['Actions and Reactions', 'In Actions and Reactions'];Kipling;Rudyard;noWikiID;2;2381;1909;short stories;Gutenberg-US;actions and reactions;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;rudyard kipling;rudyard kipling;1;100
ADAM_BEDE;['Adam Bede'];Eliot;George;Q2611046;44;507;1859;(['historical novel'], ['novel']);Gutenberg-US;adam bede;adam bede;1;100;george eliot;george eliot;1;100
ADELA_CATHCART;['Adela Cathcart'];MacDonald;George;noWikiID;1;"8892; 8929; 8943";1864;;Gutenberg-US;adela cathcart;earth;0;67.5;george macdonald;george macdonald;1;100
ADELINE_MOWBRAY;['Adeline Mowbray', 'Adeline Mowbray, or Mother and Daughter'];Opie;Amelia;Q65083334;3;37908;1804;novel;Gutenberg-US;adeline mowbray;walden;0;60;amelia opie;frances amelia yates;0;85.5
ADVENTURES_OF_A_PINCUSHION;['Adventures of a Pincushion'];Kilner;Mary Ann;noWikiID;1;63541;1788;children's book;Gutenberg-US;adventures of a pincushion;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;mary ann kilner;ann cox;0;85.5
AFTER_DARK;['After Dark'];Collins;Wilkie;noWikiID;5;1626;1856;short stories;Gutenberg-US;after dark;twenty years after;0;85.5;wilkie collins;wilkie collins;1;100
"AFTER_LONDON;_OR,_WILD_ENGLAND";"['After London; or, Wild England']";Jefferies;Richard;noWikiID;1;13944;1885;novel;Gutenberg-US;"after london; or, wild england";the wild ass's skin;0;85.5;richard jefferies;richard jefferies;1;100
AGNES_GREY;['Agnes Grey', 'Agnes Greyish'];Brontë;Anne;Q517172;26;767;1847;(['novel'], ['novel']);Gutenberg-US;agnes grey;agnes grey;1;100;anne brontë;linda anne landers;0;85.5
ALEC_FORBES_OF_HOWGLEN;['Alec Forbes of Howglen'];MacDonald;George;noWikiID;1;18810;1865;;Gutenberg-US;alec forbes of howglen;a journey to the western islands of scotland and the journal of a tour to the hebrides;0;85.5;george macdonald;george macdonald;1;100
ALICE'S_ADVENTURES_IN_WONDERLAND;"['Alice in Wonderland', ""Alice's Adventures in Wonderland"", 'Alice? Wonderland']";Carroll;Lewis;Q92640;11;https://en.wikisource.org/wiki/Alice%27s_Adventures_Under_Ground/Chapter_1;1865;"([""children's novel"", 'fairy tale', 'literary nonsense'], ['novel'])";Gutenberg-US;alice's adventures in wonderland;alice's adventures in wonderland and through the looking-glass;1;90;lewis carroll;lewis carroll;1;100
ALL_SORTS_AND_CONDITIONS_OF_MEN;['All Sorts and Conditions of Men'];Besant;Walter;noWikiID;3;47098;1882;novel;Gutenberg-US;all sorts and conditions of men;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;walter besant;walter francis ballinger;0;85.5
ALLAN_QUATERMAIN_(NOVEL);['Allan Quatermain', 'When Allan Quatermain'];Haggard;H. Rider;Q4062545;7;711;1887;(['adventure novel'], []);Gutenberg-US;allan quatermain (novel);emma;0;67.5;h. rider haggard;h. rider haggard, (henry rider);1;90
ALMAYER'S_FOLLY;"[""Almayer's Folly""]";Conrad;Joseph;Q2404359;3;720;1895;([], ['novel']);Gutenberg-US;almayer's folly;moll flanders;0;61.07142857;joseph conrad;joseph conrad;1;100
ALTON_LOCKE;['Alton Locke'];Kingsley;Charles;Q4736895;8;8374;1850;([], ['novel']);Gutenberg-US;alton locke;restoration literature: an anthology;0;57.27272727;charles kingsley;charles c kingsley;1;95
AMY_FOSTER;['Amy Foster'];Conrad;Joseph;Q4749187;1;495;1901;(['short story'], ['short story']);Gutenberg-US;amy foster;hester;0;72;joseph conrad;joseph conrad;1;100
AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS;['Shamela', 'In Shamela', 'An Apology for the Life of Mrs Shamela'];Fielding;Henry;Q2743569;6;30962;1741;(['parody', 'epistolary novel'], []);Gutenberg-US;an apology for the life of mrs. shamela andrews;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;henry fielding;henry fielding;1;100
AN_IRISH_COUSIN;['An Irish Cousin', 'When An Irish Cousin'];Sommerville/Ross;Edith/Martin;noWikiID;4;"58633; 58634";1889;;Gutenberg-US;an irish cousin;an autobiography: and other writings;0;85.5;edith/martin sommerville/ross;martin martin;0;85.5
AN_OUTCAST_OF_THE_ISLANDS;['An Outcast of the Islands'];Conrad;Joseph;Q1090444;1;638;1896;(['novel'], ['novel']);Gutenberg-US;an outcast of the islands;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;joseph conrad;joseph conrad;1;100
ANN_VERONICA;['Ann Veronica'];Wells;H. G.;Q1247736;10;524;1909;(['feminist novel'], []);Gutenberg-US;ann veronica;anna karenina;0;64;h. g. wells;h. wells;1;95
ANNA_ST_IVES;['Anna St. Ives', 'Anna St Ives'];Holfcroft;Thomas;noWikiID;3;9468;1792;novel;Gutenberg-US;anna st ives;nana;0;67.5;thomas holfcroft;thomas holcroft;1;96.77419355
ANNALS_OF_THE_PARISH;['Annals of the Parish', 'The Annals of the Parish'];Galt;John;Q4767877;12;1310;1821;([], ['novel']);Gutenberg-US;annals of the parish;lady susan, the watsons, and sanditon: unfinished fictions and other writings;0;85.5;john galt;john galt;1;100
ANTAR;['Antar'];Hamilton;Terrick;noWikiID;1;57857;1820;novel;Gutenberg-US;antar;culture and anarchy;0;76;terrick hamilton;harry hamilton johnston, sir;0;85.5
