wikiname;syllabi;score_syllabi;freq_y
ABDALLAH;;;
ABU_TELFAN;;;
ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE;;;
ADDRICH_IM_MOOS;;;
ADELE;;;
AESTHETISCHE_FELDZUEGE;;;
AGATHODAEMON;;;
AGNES_VON_LILIEN;1;100;1
AHNUNG_UND_GEGENWART;1;100;4
ALSO_SPRACH_ZARATHUSTRA;1;100;1
ALTE_NESTER;;;
ALTERSHAUSEN;;;
AMANDA_UND_EDUARD;;;
AMAZONENSCHLACHT;;;
AN_HEILIGEN_WASSERN;;;
ANDREA_DELFIN;;;
ANDROGYNE;;;
ANGELA_BORGIA;;;
ANNA;;;
ANTON_REISER;1;100;5
AQUIS_SUBMERSUS;;;
ARBEIT;;;
ARDINGHELLO;1;100;1
ARDISTAN_UND_DSCHINNISTAN;;;
ARIEL'S_OFFENBARUNGEN;;;
ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN;;;
ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES;;;
ASIATISCHE_BANISE;1;95;1
ASPASIA;;;
AUCH_EINER;;;
AUF_DEM_STAATSHOF;;;
AUF_DER_UNIVERSITAET;;;
AUF_DER_WEGWACHT;;;
AUF_ZWEI_PLANETEN;;;
AUS_DEM_BOEHMERWALDE;;;
AUS_DEM_LEBEN_EINER_FRAU;;;
AUS_DEM_LEBEN_EINES_TAUGENICHTS;1;100;5
AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI;;;
AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS;;;
AUS_EINER_FAMILIE;;;
AUS_GUTER_FAMILIE;1;100;1
AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT;;;
AUS_TROTZKOPFS_EHE;;;
AUSWAHL_AUS_DES_TEUFELS_PAPIEREN;;;
BAHNWAERTER_THIEL;1;90.90909091;3
BARBAROSSA;;;
BEATRICE;;;
BEBUQUIN;;;
BELPHEGOR;1;100;1
BILDER_UND_GESCHICHTEN_AUS_SCHWABEN;;;
BLUMEN;;;
BOZENA;;;
BRIEFE_EINES_NARREN_UND_EINER_NAERRIN;;;
BRIGITTA_(STIFTER);1;90;1
BUDDENBROOKS;1;100;5
BULEMANNS_HAUS;;;
BUNTE_STEINE;1;100;3
CÉCILE;;;
CABANIS;;;
CARSTEN_CURATOR;;;
CHRISTA_RUHLAND;;;
CLEMENTINE;;;
DAPHNIS;;;
DAS_ALTE_HAUS;;;
DAS_AMULETT;1;100;1
DAS_BLUETHENALTER_DER_EMPFINDUNG;;;
DAS_BUCH_LE_GRAND;;;
DAS_DUELL;;;
DAS_ERDBEBEN_IN_CHILI;1;93.02325581;4
DAS_ERDBEERIMAREILI;;;
DAS_FRAEULEIN_VON_SCUDERI;;;
DAS_GEHEIMNIS_DER_ALTEN_MAMSELL;;;
DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS;;;
DAS_GEMEINDEKIND;1;100;1
DAS_GESPENST;;;
DAS_GLUECK;;;
DAS_GOLDMACHERDORF;;;
DAS_HEIMWEH;;;
DAS_HEXAMERON_VON_ROSENHAIN;;;
DAS_HOELZERNE_BEIN;;;
DAS_JUDENGRAB;;;
DAS_JUNGE_EUROPA;;;
DAS_KAJUETENBUCH;;;
DAS_KLOSTER_BEI_SENDOMIR;;;
DAS_KREUZ_IM_VENN;;;
DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS;;;
DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER;1;87.56756757;1
DAS_LEIDEN_EINES_KNABEN;;;
DAS_MAEDCHEN_VON_TREPPI;;;
DAS_MAERCHEN_DER_672._NACHT;1;94.33962264;1
DAS_MARMORBILD;1;100;2
DAS_NATURFORSCHERSCHIFF;;;
DAS_NUSS-KERNEN;;;
DAS_ODFELD;1;100;2
DAS_RECHT_DER_MUTTER;;;
DAS_SANCTUS;;;
DAS_SCHAEDLICHE;;;
DAS_SCHATZHAUS_DES_KOENIGS;;;
DAS_SCHLOSS_DUERANDE;;;
DAS_SCHWEIGEN_IM_WALDE;;;
DAS_STEINERNE_HERZ;;;
DAS_STUTTGARTER_HUTZELMAENNLEIN;;;
DAS_URTEIL_(KAFKA);1;90;2
DAS_VERLASSENE_HAUS;;;
DAS_VERLORENE_LACHEN;;;
DAS_VERMAECHTNIS_DES_INKA;;;
DAS_WALDROESCHEN;;;
DAS_WEIBERDORF;;;
DAS_ZAUBERSCHLOSS;;;
DE_PROFUNDIS;;;
DEN_STEIN_DER_WEISEN;;;
DER_ALTE_VOM_BERGE;;;
DER_AMERIKAMUEDE;;;
DER_AMTMANN_VON_HOHENWEILER;;;
DER_APOSTEL_(HAUPTMANN);;;
DER_ARME_SPIELMANN;1;100;3
DER_AUFRUHR_IN_DEN_CEVENNEN;;;
DER_BAUERNSPIEGEL;;;
DER_BESUCH;;;
DER_BLONDE_ECKBERT;1;100;3
DER_BUETTNERBAUER;;;
DER_CONDOR;;;
DER_DRAEUMLING;;;
DER_EINSAME;;;
DER_FALSCHE_WOLDEMAR;;;
DER_FAUST_DER_MORGENLAENDER;;;
DER_FINDLING;;;
DER_FREIHOF_VON_AARAU;;;
DER_FROMME_SPRUCH;;;
DER_GEHUELFE;1;86.95652174;2
DER_GEISTERSEHER;;;
DER_GENIUS;;;
DER_GOLDNE_SPIEGEL;;;
DER_GOLDNE_TOPF;1;100;4
DER_GOTTSUCHER;;;
DER_GRUENE_HEINRICH;1;91.89189189;5
DER_HEILIGE;;;
DER_HEIZER;;;
DER_HERR_ETATSRAT;;;
DER_HEXENMEISTER;;;
DER_HEXENSABBAT;1;100;1
DER_HOCHWALD;1;100;2
DER_HUNGERPASTOR;1;100;1
DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER;;;
DER_JUNGE_TISCHLERMEISTER;1;100;1
DER_JUNKER_VON_DENOW;;;
DER_KLEINE_HAEWELMANN;;;
DER_KOENIG_DER_BERNINA;;;
DER_LANDPREDIGER;;;
DER_LANDVOGT_VON_GREIFENSEE;;;
DER_MAGNETISEUR_(E._T._A._HOFFMANN);;;
DER_MAJOR;;;
DER_NACHSOMMER;1;100;1
DER_POJAZ;1;100;1
DER_POSTEN_DER_FRAU;;;
DER_PRINZ_VON_THEBEN;;;
DER_PSYCHOLOGE;;;
DER_RABBI_VON_BACHERACH;;;
DER_RANGIERBAHNHOF;;;
DER_RAUBGRAF;;;
DER_REBELL;;;
DER_REDLICHE_MANN_AM_HOFE;;;
DER_ROLAND_VON_BERLIN;;;
DER_RUNENBERG;1;100;1
DER_SADDUZAEER_VON_AMSTERDAM;;;
DER_SANDMANN_(HOFFMANN);1;90;4
DER_SATYR_MOPSUS;;;
DER_SCHATZ;;;
DER_SCHATZ_IM_SILBERSEE;;;
DER_SCHIMMELREITER;1;100;3
DER_SCHMIED_SEINES_GLUECKS;;;
DER_SCHUEDDERUMP;;;
DER_SCHUSS_VON_DER_KANZEL;1;93.87755102;1
DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE;;;
DER_SELBSTMOERDER;;;
DER_SONNENWIRT;;;
DER_STECHLIN_(ROMAN);1;90;4
DER_STERNSTEINHOF;1;100;1
DER_TOD_ABELS;;;
DER_TOD_GEORGS;;;
DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU;;;
DER_TORSO;;;
DER_TROTZKOPF;;;
DER_UEBERGANG;;;
DER_UNTERTAN;1;100;7
DER_VERBRECHER_AUS_VERLORENER_EHRE;1;100;1
DER_WALDBRUDER;;;
DER_WALDBRUNNEN;;;
DER_WASSERMENSCH;;;
DER_WEG_INS_FREIE;1;100;1
DER_WEHRWOLF;;;
DER_WINTERGARTEN;;;
DER_ZAUBERRING;;;
DER_ZWEIKAMPF;;;
DES_DEUTSCHEN_SPIESSERS_WUNDERHORN;1;95.52238806;1
DES_LEBENS_UEBERFLUSS;;;
DES_REICHES_KRONE;;;
DES_VETTERS_ECKFENSTER;;;
DEUTSCHE_PIONIERE;;;
DEUTSCHER_ADEL_(WILHELM_RAABE);;;
DICHTER_UND_IHRE_GESELLEN;;;
DICHTERLEBEN;;;
DIE_ABDERITEN;;;
DIE_ABENTEUER_DER_SYLVESTERNACHT;;;
DIE_ABENTHEUER_DES_DON_SYLVIO_VON_ROSALVA;1;90;2
DIE_AHNEN;;;
DIE_AKTEN_DES_VOGELSANGS;1;100;3
DIE_ANARCHISTEN;;;
DIE_BARONIN;;;
DIE_BEICHTE;;;
DIE_BRAUTNACHT;;;
DIE_CHINESISCHE_MAUER;;;
DIE_CHRONIK_DER_SPERLINGSGASSE;;;
DIE_DREI_GERECHTEN_KAMMMACHER;;;
DIE_DREI_NUESSE;;;
DIE_ELFEN_(LUDWIG_TIECK);;;
DIE_ELIXIERE_DES_TEUFELS;;;
DIE_ENTFUEHRUNG;;;
DIE_EPIGONEN;1;100;1
DIE_ERMORDUNG_EINER_BUTTERBLUME;1;100;1
DIE_EUROPAMUEDEN;;;
DIE_FAMILIE;;;
DIE_FAMILIE_SELDORF;;;
DIE_FAMILIE_WOREL;;;
DIE_FERMATE;;;
DIE_FLUSSPIRATEN_DES_MISSISSIPPI;;;
DIE_FRAU_PROFESSORIN;;;
DIE_FREIHERREN_VON_GEMPERLEIN;;;
DIE_FREUNDE_(LUDWIG_TIECK);;;
DIE_GEIER-WALLY_(ROMAN);;;
DIE_GEIGERIN;;;
DIE_GESCHICHTE_DER_ANNA_WASER;;;
DIE_GLUECKLICHE_REISE;;;
DIE_GLUECKSRITTER;;;
DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY;;;
DIE_GOLDENE_SCHMIEDE;;;
DIE_GUENDERODE;;;
DIE_GUTE_SCHULE;;;
DIE_HANNA;;;
DIE_HEILIGE_CAECILIE_ODER_DIE_GEWALT_DER_MUSIK;;;
DIE_HOCHZEIT_DES_MOENCHS;;;
DIE_HOSEN_DES_HERRN_VON_BREDOW;;;
DIE_INNERSTE;;;
DIE_INSEL_FELSENBURG;1;100;2
DIE_JUDEN_VON_BARNOW;;;
DIE_JUDENBUCHE;1;100;6
DIE_KAESEREI_IN_DER_VEHFREUDE;;;
DIE_KINDER_VON_FINKENRODE;;;
DIE_KLEINE_STADT;;;
DIE_KLUGEN_JUNGFRAUEN;;;
DIE_KOENIGSBRAUT;;;
DIE_KRONENWAECHTER;1;88.23529412;1
DIE_LEHRLINGE_ZU_SAIS;;;
DIE_LEIDEN_DES_JUNGEN_WERTHERS;1;100;6
DIE_LETZTE_RECKENBURGERIN;;;
DIE_LEUTE_AUS_DEM_WALDE;;;
DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS;;;
DIE_LEUTE_VON_SELDWYLA;1;100;4
DIE_LIEBENSWUERDIGE_ADALIE;;;
DIE_MAEDCHENFEINDE;;;
DIE_MAJORATSHERREN;;;
DIE_MANDANEN-WAISE;;;
DIE_MARZIPANLIESE;;;
DIE_MEHREREN_WEHMUELLER;;;
DIE_MOLKENKUR;;;
DIE_NACHBARN;;;
DIE_NAECHTE_TINO_VON_BAGDADS;;;
DIE_NARRENBURG;;;
DIE_NIHILISTEN;;;
DIE_PFRUENDER;;;
DIE_POGGENPUHLS;1;86.66666667;1
DIE_RICHTERIN_(NOVELLE);;;
DIE_RITTER_VOM_GEISTE;;;
DIE_ROSE_VON_DISENTIS;;;
DIE_SCHRIFTEN_DES_WALDSCHULMEISTERS;;;
DIE_SCHWARZE_GALEERE;;;
DIE_SCHWARZE_SPINNE_(NOVELLE);1;90;2
DIE_SERAPIONSBRUEDER;;;
DIE_SOEHNE_DES_SENATORS;;;
DIE_STEINKLOPFER;;;
DIE_TOTEN_SCHWEIGEN;;;
DIE_VERLOBUNG_IN_ST._DOMINGO;1;100;1
DIE_VERLORENE_HANDSCHRIFT;;;
DIE_VERSUCHUNG_DES_PESCARA;;;
DIE_VERWANDLUNG;1;100;1
