short_title;title;review_reference
CONSTANTIA;"CONSTANTIA; OR THE DISTRESSED FRIEND. A NOVEL.";"CR 29: 364-6 (May 1770); MR 43: 152 (Aug 1770); AF I: 494."
THE DISTRESSED DAUGHTER;"THE DISTRESSED DAUGHTER: OR, THE HAPPY RECONCILIATION; A NOVEL.";
FATAL FRIENDSHIP;"FATAL FRIENDSHIP; A NOVEL .. IN TWO VOLUMES. BY A LADY.";"CR 30: 397 (Nov 1770); MR 42: 488 (June 1770); AF I: 852."
THE FORTUNATE BLUE-COAT BOY;"THE FORTUNATE BLUE-COAT BOY: OR, MEMOIRS OF THE LIFE AND HAPPY ADVENTURES OF MR. BENJAMIN TEMPLEMAN; FORMERLY A SCHOLAR IN CHRIST'S-HOSPITAL. BY AN ORPHANOTROPHIAN. IN TWO VOLUMES.";"CR 29: 149-50 (Feb 1770); MR42: 71-2 (Jan 1770); AF I: 944."
THE GENUINE MEMOIRS OF MISS FAULKNER;"THE GENUINE MEMOIRS OF MISS FAULKNER; OTHERWISE MRS. D***L**N OR COUNTESS OF H*****X, IN EXPECTANCY. CONTAINING THE AMOURS AND INTRIGUES OF SEVERAL PERSONS OF HIGH DISTINCTION, AND REMARKABLE CHARACTERS: WITH SOME CURIOUS POLITICAL ANECDOTES, NEVER BEFORE PUBLISHED.";"CR 30: 240 (Sept 1770); MR 42: 251 (Mar 1770); AF I: 1055."
THE HISTORY OF MISS HARRIOT MONTAGUE;THE HISTORY OF MISS HARRIOT MONTAGUE. IN TWO VOLUMES.;"CR29: 149 (Feb 1770); MR42: 250-1 (Mar 1770)."
THE HISTORY OF MR;THE HISTORY OF MR. CHARLES FITZGERALD, AND MISS SARAH STAPLETON. IN FIVE BOOKS.;
THE HISTORY OF SIR CHARLES DORMER AND MISS HARRIET VILLARS;THE HISTORY OF SIR CHARLES DORMER AND MISS HARRIET VILLARS: IN WHICH ARE EXEMPLIFIED, FROM A LATE CATASTROPHE IN REAL LIFE, THE CONTRAST OF VIRTUE AND 'VICE, AND THE DANGEROUS AND FATAL CONSEQUENCES ARISING FROM CONFIDANTS AND INTERMEDDLARS IN FAMILY AFFAIRS. BY A LADY.;"CR 30: 302-5 (Oct 1770); MR42: 489 (June 1770);AF I: 1281."
LETTERS BETWEEN AN ENGLISH LADY AND HER FRIEND AT PARIS;LETTERS BETWEEN AN ENGLISH LADY AND HER FRIEND AT PARIS. IN WHICH ARE CONTAINED, THE MEMOIRS OF MRS. WILLIAMS. BY A LADY. IN TWO VOLUMES.;"CR 29: 294-9 (Apr 1770);MR42: 330 (Apr 1770);AF I: 1608."
LIFE;LIFE, ADVENTURES AND AMOURS OF SIR RP WHO SO RECENTLY HAD THE HONOUR TO PRESENT THE F--ADDRESS AT THE ENGLISH COURT.;"CR 29: 237 (Mar 1770); MR 42: 251 (Mar 1770); AF I: 1627."
